RegionID,Week,Rent_Index
394458,12/31/2019,1392.820561
394458,1/31/2020,1394.23431
394458,2/29/2020,1398.791933
394458,3/31/2020,1407.653535
394458,4/30/2020,1399.669514
394458,5/31/2020,1395.870936
394458,6/30/2020,1392.165835
394458,7/31/2020,1403.05995
394458,8/31/2020,1411.011307
394458,9/30/2020,1414.898454
394458,10/31/2020,1418.036418
394458,11/30/2020,1426.287641
394458,12/31/2020,1431.810088
394458,1/31/2021,1441.524232
394458,2/28/2021,1448.637281
394458,3/31/2021,1466.223734
394458,4/30/2021,1490.708371
394458,5/31/2021,1521.939467
394458,6/30/2021,1555.143582
394458,7/31/2021,1588.180007
394458,8/31/2021,1626.596458
394458,9/30/2021,1662.244953
394458,10/31/2021,1687.080044
394458,11/30/2021,1702.150747
394458,12/31/2021,1715.312573
394458,1/31/2022,1725.773526
394458,2/28/2022,1734.452718
394458,3/31/2022,1739.018913
394458,4/30/2022,1755.929328
394458,5/31/2022,1785.319004
394458,6/30/2022,1819.720759
394458,7/31/2022,1850.047552
394458,8/31/2022,1860.810451
394458,9/30/2022,1860.982647
394355,3/31/2015,1268.177614
394355,4/30/2015,1275.951507
394355,5/31/2015,1288.665065
394355,6/30/2015,1294.958928
394355,7/31/2015,1301.771679
394355,8/31/2015,1306.437241
394355,9/30/2015,1305.650421
394355,10/31/2015,1302.963392
394355,11/30/2015,1300.265941
394355,12/31/2015,1305.522534
394355,1/31/2016,1312.090703
394355,2/29/2016,1317.694646
394355,3/31/2016,1323.99489
394355,4/30/2016,1330.276458
394355,5/31/2016,1337.197383
394355,6/30/2016,1343.005156
394355,7/31/2016,1347.183856
394355,8/31/2016,1331.084886
394355,9/30/2016,1325.322943
394355,10/31/2016,1321.293235
394355,11/30/2016,1321.343471
394355,12/31/2016,1320.332641
394355,1/31/2017,1321.183876
394355,2/28/2017,1341.537402
394355,3/31/2017,1353.030246
394355,4/30/2017,1363.275293
394355,5/31/2017,1370.595947
394355,6/30/2017,1377.344229
394355,7/31/2017,1380.308311
394355,8/31/2017,1375.862911
394355,9/30/2017,1362.648054
394355,10/31/2017,1354.071725
394355,11/30/2017,1350.576075
394355,12/31/2017,1352.150875
394355,1/31/2018,1349.897866
394355,2/28/2018,1355.216562
394355,3/31/2018,1364.318204
394355,4/30/2018,1378.577743
394355,5/31/2018,1389.36392
394355,6/30/2018,1404.175657
394355,7/31/2018,1419.364749
394355,8/31/2018,1427.829472
394355,9/30/2018,1427.072707
394355,10/31/2018,1421.257459
394355,11/30/2018,1421.556717
394355,12/31/2018,1419.941007
394355,1/31/2019,1422.493586
394355,2/28/2019,1426.038629
394355,3/31/2019,1435.678894
394355,4/30/2019,1447.384939
394355,5/31/2019,1456.75364
394355,6/30/2019,1468.71733
394355,7/31/2019,1479.108124
394355,8/31/2019,1487.729521
394355,9/30/2019,1488.686326
394355,10/31/2019,1486.625724
394355,11/30/2019,1482.627538
394355,12/31/2019,1480.415739
394355,1/31/2020,1481.394888
394355,2/29/2020,1486.485162
394355,3/31/2020,1497.048417
394355,4/30/2020,1493.385536
394355,5/31/2020,1482.313747
394355,6/30/2020,1469.839392
394355,7/31/2020,1470.452937
394355,8/31/2020,1471.605587
394355,9/30/2020,1464.47642
394355,10/31/2020,1455.082696
394355,11/30/2020,1451.765735
394355,12/31/2020,1454.476167
394355,1/31/2021,1467.697438
394355,2/28/2021,1482.626354
394355,3/31/2021,1508.187165
394355,4/30/2021,1540.743917
394355,5/31/2021,1585.27589
394355,6/30/2021,1641.266902
394355,7/31/2021,1703.617779
394355,8/31/2021,1764.267218
394355,9/30/2021,1802.816784
394355,10/31/2021,1818.921349
394355,11/30/2021,1817.964829
394355,12/31/2021,1824.46435
394355,1/31/2022,1817.721061
394355,2/28/2022,1827.520312
394355,3/31/2022,1833.671404
394355,4/30/2022,1861.131224
394355,5/31/2022,1888.806274
394355,6/30/2022,1920.846932
394355,7/31/2022,1947.034966
394355,8/31/2022,1953.958801
394355,9/30/2022,1950.113613
394902,3/31/2015,1191.619068
394902,4/30/2015,1207.552559
394902,5/31/2015,1217.059903
394902,6/30/2015,1228.828835
394902,7/31/2015,1236.86949
394902,8/31/2015,1244.216713
394902,9/30/2015,1243.71438
394902,10/31/2015,1243.715937
394902,11/30/2015,1239.597266
394902,12/31/2015,1242.108547
394902,1/31/2016,1249.890474
394902,2/29/2016,1258.312469
394902,3/31/2016,1269.411454
394902,4/30/2016,1274.232415
394902,5/31/2016,1288.63692
394902,6/30/2016,1296.114329
394902,7/31/2016,1307.909827
394902,8/31/2016,1315.779163
394902,9/30/2016,1313.744082
394902,10/31/2016,1308.08844
394902,11/30/2016,1294.672595
394902,12/31/2016,1296.787534
394902,1/31/2017,1299.615504
394902,2/28/2017,1308.110126
394902,3/31/2017,1317.026451
394902,4/30/2017,1329.286398
394902,5/31/2017,1348.877988
394902,6/30/2017,1358.026895
394902,7/31/2017,1363.628915
394902,8/31/2017,1367.449474
394902,9/30/2017,1368.029123
394902,10/31/2017,1361.945829
394902,11/30/2017,1346.921298
394902,12/31/2017,1339.833236
394902,1/31/2018,1344.893928
394902,2/28/2018,1349.473936
394902,3/31/2018,1362.859336
394902,4/30/2018,1372.401083
394902,5/31/2018,1386.348966
394902,6/30/2018,1396.992678
394902,7/31/2018,1401.82337
394902,8/31/2018,1404.448964
394902,9/30/2018,1397.003769
394902,10/31/2018,1394.187806
394902,11/30/2018,1389.263744
394902,12/31/2018,1390.629666
394902,1/31/2019,1393.761497
394902,2/28/2019,1403.847378
394902,3/31/2019,1414.338422
394902,4/30/2019,1424.8015
394902,5/31/2019,1438.019502
394902,6/30/2019,1449.423766
394902,7/31/2019,1459.820674
394902,8/31/2019,1461.075039
394902,9/30/2019,1459.612921
394902,10/31/2019,1454.130958
394902,11/30/2019,1455.399355
394902,12/31/2019,1458.297171
394902,1/31/2020,1465.631134
394902,2/29/2020,1470.095685
394902,3/31/2020,1478.69661
394902,4/30/2020,1483.222908
394902,5/31/2020,1486.680512
394902,6/30/2020,1485.277969
394902,7/31/2020,1489.286061
394902,8/31/2020,1492.201203
394902,9/30/2020,1488.497254
394902,10/31/2020,1482.731434
394902,11/30/2020,1477.678846
394902,12/31/2020,1483.312622
394902,1/31/2021,1491.794119
394902,2/28/2021,1497.751486
394902,3/31/2021,1512.704685
394902,4/30/2021,1535.194701
394902,5/31/2021,1571.505065
394902,6/30/2021,1607.940881
394902,7/31/2021,1649.347008
394902,8/31/2021,1695.077321
394902,9/30/2021,1728.682819
394902,10/31/2021,1749.160704
394902,11/30/2021,1761.741028
394902,12/31/2021,1773.246488
394902,1/31/2022,1788.869798
394902,2/28/2022,1805.732428
394902,3/31/2022,1826.690261
394902,4/30/2022,1840.382613
394902,5/31/2022,1860.250601
394902,6/30/2022,1884.611363
394902,7/31/2022,1910.608761
394902,8/31/2022,1923.840442
394902,9/30/2022,1923.271835
