RegionID,Week,Inventory_Sales_Count
394355,9/30/2012,1748
394355,10/31/2012,1937
394355,11/30/2012,1527
394355,12/31/2012,1665
394355,1/31/2013,1283
394355,2/28/2013,1383
394355,3/31/2013,1969
394355,4/30/2013,2400
394355,5/31/2013,2688
394355,6/30/2013,2586
394355,7/31/2013,2935
394355,8/31/2013,2888
394355,9/30/2013,2198
394355,10/31/2013,2100
394355,11/30/2013,1681
394355,12/31/2013,1902
394355,1/31/2014,1193
394355,2/28/2014,1457
394355,3/31/2014,1903
394355,4/30/2014,2160
394355,5/31/2014,2554
394355,6/30/2014,2669
394355,7/31/2014,2844
394355,8/31/2014,2364
394355,9/30/2014,2228
394355,10/31/2014,2211
394355,11/30/2014,1607
394355,12/31/2014,1890
394355,1/31/2015,1327
394355,2/28/2015,1472
394355,3/31/2015,2096
394355,4/30/2015,2165
394355,5/31/2015,2475
394355,6/30/2015,2746
394355,7/31/2015,2995
394355,8/31/2015,2520
394355,9/30/2015,2318
394355,10/31/2015,2093
394355,11/30/2015,1556
394355,12/31/2015,2049
394355,1/31/2016,1332
394355,2/29/2016,1485
394355,3/31/2016,2183
394355,4/30/2016,2211
394355,5/31/2016,2539
394355,6/30/2016,2950
394355,7/31/2016,2574
394355,8/31/2016,2805
394355,9/30/2016,2226
394355,10/31/2016,2029
394355,11/30/2016,1835
394355,12/31/2016,2036
394355,1/31/2017,1390
394355,2/28/2017,1587
394355,3/31/2017,2165
394355,4/30/2017,2148
394355,5/31/2017,2751
394355,6/30/2017,3037
394355,7/31/2017,2615
394355,8/31/2017,2740
394355,9/30/2017,2149
394355,10/31/2017,2042
394355,11/30/2017,1806
394355,12/31/2017,2126
394355,1/31/2018,1473
394355,2/28/2018,1682
394355,3/31/2018,2297
394355,4/30/2018,2448
394355,5/31/2018,2970
394355,6/30/2018,3021
394355,7/31/2018,2956
394355,8/31/2018,2874
394355,9/30/2018,2097
394355,10/31/2018,2195
394355,11/30/2018,1847
394355,12/31/2018,2031
394355,1/31/2019,1432
394355,2/28/2019,1806
394355,3/31/2019,2282
394355,4/30/2019,2675
394355,5/31/2019,3261
394355,6/30/2019,2888
394355,7/31/2019,3222
394355,8/31/2019,2952
394355,9/30/2019,2410
394355,10/31/2019,2550
394355,11/30/2019,2146
394355,12/31/2019,2508
394355,1/31/2020,1601
394355,2/29/2020,2083
394355,3/31/2020,2631
394355,4/30/2020,2072
394355,5/31/2020,2103
394355,6/30/2020,3230
394355,7/31/2020,3785
394355,8/31/2020,3397
394355,9/30/2020,3206
394355,10/31/2020,3021
394355,11/30/2020,2589
394355,12/31/2020,2831
394355,1/31/2021,2045
394355,2/28/2021,1784
394355,3/31/2021,2745
394355,4/30/2021,3029
394355,5/31/2021,3236
394355,6/30/2021,3592
394355,7/31/2021,3432
394355,8/31/2021,3243
394355,9/30/2021,3023
394355,10/31/2021,2721
394355,11/30/2021,2660
394355,12/31/2021,2788
394355,1/31/2022,1842
394355,2/28/2022,1966
394355,3/31/2022,2464
394355,4/30/2022,2485
394355,5/31/2022,2671
394355,6/30/2022,2603
394355,7/31/2022,2075
394355,8/31/2022,1885
394355,9/30/2022,1699
394902,2/29/2008,1444
394902,3/31/2008,1681
394902,4/30/2008,1779
394902,5/31/2008,1912
394902,6/30/2008,2003
394902,7/31/2008,2091
394902,8/31/2008,1843
394902,9/30/2008,1629
394902,10/31/2008,1476
394902,11/30/2008,988
394902,12/31/2008,1009
394902,1/31/2009,736
394902,2/28/2009,856
394902,3/31/2009,1104
394902,4/30/2009,1260
394902,5/31/2009,1376
394902,6/30/2009,1797
394902,7/31/2009,1719
394902,8/31/2009,1630
394902,9/30/2009,1651
394902,10/31/2009,1716
394902,11/30/2009,1583
394902,12/31/2009,1398
394902,1/31/2010,750
394902,2/28/2010,890
394902,3/31/2010,1467
394902,4/30/2010,1655
394902,5/31/2010,1770
394902,6/30/2010,1995
394902,7/31/2010,1317
394902,8/31/2010,1264
394902,9/30/2010,1196
394902,10/31/2010,1156
